[0603/150358.986:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aaiicdofoildjkenjdeoenfhdmajchlm/css/popup.css' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150358.986:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aaiicdofoildjkenjdeoenfhdmajchlm/css/popup.css. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.087:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aainjnbelendpglgndeecjljppfgapoh/images/ic_16.png' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.087:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aainjnbelendpglgndeecjljppfgapoh/images/ic_16.png. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.192:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aajeioaakaifilihejpjaohomikfinhj/assets/icons/close.svg' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.192:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aajeioaakaifilihejpjaohomikfinhj/assets/icons/close.svg. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.320:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aaknjchbdogbhlildibimnaimedkohjl/assets/auth.js' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.321:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aaknjchbdogbhlildibimnaimedkohjl/assets/auth.js. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.426:INFO:CONSOLE:12307] "Connecting to 'chrome-extension://aaknmcfmalngompbpgmdgemkeonohiec/JokeBox128.png' violates the following Content Security Policy directive: "connect-src 'self' blob: wss: *.licdn.com *.linkedin.com *.lynda.com linkedin.sc.omtrdc.net/b/ss/ cdn.linkedin.oribi.io *.data.digitalassistant.oci.oraclecloud.com/chat/ *.tealiumiq.com *.microsoft.com *.office.com *.skype.com *.skype.net *.sd-rtn.com:* *.qualtrics.com *.trouter.io dpm.demdex.net/id lnkd.demdex.net analytics-ingress-global.bitmovin.com *.xlgmedia.com www.googleadservices.com www.google.com google.com adservice.google.com td.doubleclick.net pagead2.googlesyndication.com www.googletagmanager.com ad.doubleclick.net *.ai.azure.com *.openai.azure.com bat.bing.com googleads.g.doubleclick.net cloudflare-dns.com *.live-input-li.bitcod.in". The action has been blocked.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
[0603/150359.426:INFO:CONSOLE:12307] "Fetch API cannot load chrome-extension://aaknmcfmalngompbpgmdgemkeonohiec/JokeBox128.png. Refused to connect because it violates the document's Content Security Policy.", source: https://static.licdn.com/aero-v1/sc/h/1zv8hmnpw36v03omep553zu5c (12307)
